C_Occasion,C_Fresh_Taste,C_Intense,C_Smooth,C_Acidic,C_Aroma,C_Alert,C_Origin,C_Portable,C_Value,C_Nutrition,C_Brand_Trust,C_Premium_Look,T_Occasion,T_Aroma,T_Intense,T_No_Sugar,T_Zero_Cal,T_Nutrition,T_Origin,T_Brew_Method,T_Portable,T_Brand_Trust,T_Premium_Look
ไม่ดื่มกาแฟในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0,0,0,"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล, ดื่มระหว่างเดินทาง/ขับรถ",4,4,4,4,3,3,3,3,5,4
ไม่ดื่มกาแฟ Ready to drink เลย,3,3,3,3,3,3,3,3,3,3,3,3,ไม่ดื่มชาในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0
ไม่ดื่มกาแฟในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0,0,0,ไม่ดื่มชาเขียวพร้อมดื่ม (Ready to drink) เลย,4,4,4,3,5,3,4,3,3,3
ไม่ดื่มกาแฟ Ready to drink เลย,5,2,2,4,4,1,5,5,5,5,3,3,ไม่ดื่มชาในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0
"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มให้ไม่ง่วงในวันที่ทำงานดึก, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, เล่นเกม, ดูบอล",4,3,5,1,5,5,3,5,5,5,4,5,"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มหลังออกกำลังกาย, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล",5,4,5,5,5,4,4,4,5,4
ไม่ดื่มกาแฟ Ready to drink เลย,4,4,4,1,4,4,4,4,4,4,4,4,"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า",4,4,4,4,4,4,4,4,4,4
"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน",5,4,5,3,5,3,4,4,5,4,5,5,"ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล",4,3,5,5,3,5,5,5,5,5
ไม่ดื่มกาแฟ Ready to drink เลย,1,1,1,1,1,1,1,1,1,1,1,1,"ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล",3,3,4,4,4,3,3,4,2,2
ไม่ดื่มกาแฟ Ready to drink เลย,2,2,2,2,2,4,1,2,1,1,2,4,ดื่มระหว่างเดินทาง/ขับรถ,4,4,4,3,3,3,3,4,4,4
ไม่ดื่มกาแฟในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0,0,0,"ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม",4,3,3,3,3,3,3,4,3,3
"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน",4,4,4,2,5,4,3,4,4,4,4,4,"ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล",4,3,5,4,4,3,3,4,4,4
"ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้, ดื่มก่อนไปปาร์ตี้กับเพื่อน",3,3,4,1,4,5,3,4,4,4,4,3,"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ, ดื่มหลังออกกำลังกาย, ดื่มให้ไม่ง่วงในวันที่ทำงานดึก, ดื่มให้ไม่ง่วงในคืนอ่านหนังสือสอบ",4,4,5,4,5,4,2,5,3,4
ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้,5,5,4,4,5,3,3,3,1,1,1,1,"ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ",5,5,5,5,2,2,1,5,1,1
"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้",5,5,4,2,4,5,3,5,3,4,4,4,"ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม",5,5,5,5,3,4,2,3,5,3
ไม่ดื่มกาแฟ Ready to drink เลย,5,5,5,1,5,5,1,4,4,4,4,4,ไม่ดื่มชาเขียวพร้อมดื่ม (Ready to drink) เลย,5,5,5,2,2,3,4,4,4,4
ไม่ดื่มกาแฟในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0,0,0,"ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล, ดื่มระหว่างเดินทาง/ขับรถ",4,4,4,3,3,3,3,4,5,4
ไม่ดื่มกาแฟในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0,0,0,ไม่ดื่มชาเขียวพร้อมดื่ม (Ready to drink) เลย,5,5,4,3,3,4,4,4,3,4
ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้,5,3,4,4,4,2,2,4,4,4,3,3,ไม่ดื่มชาในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0
ไม่ดื่มกาแฟในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0,0,0,"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ",5,4,4,4,3,3,3,4,4,3
ไม่ดื่มกาแฟ Ready to drink เลย,4,4,4,2,4,4,2,2,2,2,4,4,"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล, ดื่มให้ไม่ง่วงในวันที่ทำงานดึก",5,5,4,4,3,4,3,5,5,5
ไม่ดื่มกาแฟในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0,0,0,"ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม",3,3,3,4,4,3,3,4,4,4
ไม่ดื่มกาแฟในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0,0,0,ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน,5,4,4,2,4,5,4,5,3,4
ไม่ดื่มกาแฟในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0,0,0,"ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล",5,4,3,3,5,4,4,5,5,5
ไม่ดื่มกาแฟในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0,0,0,ดื่มให้ตื่นตัวในตอนเช้า,4,3,4,4,5,3,3,4,5,4
ไม่ดื่มกาแฟ Ready to drink เลย,5,5,5,5,5,3,5,5,1,1,5,5,ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม,5,5,5,5,5,5,5,5,5,5
ไม่ดื่มกาแฟในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0,0,0,"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล, ดื่มระหว่างเดินทาง/ขับรถ",3,4,5,3,3,4,3,5,3,5
ไม่ดื่มกาแฟในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0,0,0,"ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล",1,5,1,1,1,1,1,5,5,5
ไม่ดื่มกาแฟในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0,0,0,ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า,5,5,5,3,4,3,3,4,3,4
ไม่ดื่มกาแฟ Ready to drink เลย,4,4,4,3,4,4,3,4,3,4,4,4,ไม่ดื่มชาในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0
ไม่ดื่มกาแฟ Ready to drink เลย,5,4,5,4,5,4,5,5,5,5,5,5,ไม่ดื่มชาในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0
ไม่ดื่มกาแฟในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0,0,0,"ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม",5,4,4,3,3,3,3,5,3,3
"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้",4,3,4,4,4,3,2,4,2,1,3,3,"ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ",3,3,4,4,4,3,2,4,4,4
ดื่มระหว่างเดินทาง/ขับรถ,3,3,3,3,3,4,4,4,4,3,4,3,ดื่มเมื่ออยาก,5,4,5,4,4,3,2,1,3,4
ไม่ดื่มกาแฟ Ready to drink เลย,4,4,4,4,4,2,4,4,1,5,1,1,"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม",5,5,5,5,5,2,1,4,1,1
"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างเดินทาง/ขับรถ",1,1,1,1,1,1,1,1,1,1,1,1,ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม,4,4,5,5,3,4,3,4,4,4
ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้,5,4,4,3,3,3,1,3,2,3,3,4,"ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล",2,1,4,1,5,3,1,5,5,3
ไม่ดื่มกาแฟ Ready to drink เลย,1,1,1,1,1,1,1,1,1,1,1,1,"ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ",5,2,4,3,1,3,2,3,1,2
ไม่ดื่มกาแฟในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0,0,0,"ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล, ดื่มระหว่างเดินทาง/ขับรถ",4,4,5,4,4,3,3,4,4,3
ไม่ดื่มกาแฟ Ready to drink เลย,5,4,5,1,5,3,3,4,4,3,4,4,ไม่ดื่มชาเขียวพร้อมดื่ม (Ready to drink) เลย,4,4,4,5,4,3,3,4,4,4
"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ไม่ง่วงในวันที่ทำงานดึก, ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้",5,5,5,3,5,5,3,5,4,4,4,5,"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มให้ไม่ง่วงในวันที่ทำงานดึก",5,4,5,5,2,3,1,2,3,4
ดื่มให้ตื่นตัวในตอนเช้า,3,3,4,3,3,5,4,4,4,4,3,3,ดื่มหลังออกกำลังกาย,5,5,5,5,5,4,4,5,4,3
ดื่มระหว่างเดินทาง/ขับรถ,5,5,5,3,5,5,5,5,5,5,5,5,ดื่มระหว่างเดินทาง/ขับรถ,4,5,3,2,3,4,4,4,4,5
ดื่มระหว่างเดินทาง/ขับรถ,3,5,4,3,5,4,2,5,2,4,4,5,"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ",5,3,5,2,4,3,4,5,5,5
ดื่มระหว่างเดินทาง/ขับรถ,3,4,4,3,4,4,4,5,5,5,5,5,ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน,4,4,4,4,5,5,5,5,5,5
ไม่ดื่มกาแฟ Ready to drink เลย,5,5,3,1,5,5,3,3,3,3,3,3,"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล, ดื่มระหว่างเดินทาง/ขับรถ",5,5,4,5,4,4,4,4,3,3
"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มระหว่างเดินทาง/ขับรถ, ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้",3,3,5,1,5,4,1,5,3,3,3,4,"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล, ดื่มระหว่างเดินทาง/ขับรถ",4,3,3,3,3,3,3,5,4,4
ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้,5,4,3,4,4,4,4,4,4,3,4,3,ไม่ดื่มชาเขียวพร้อมดื่ม (Ready to drink) เลย,3,4,5,5,3,3,3,4,3,3
ไม่ดื่มกาแฟ Ready to drink เลย,1,1,1,1,1,1,1,1,1,1,1,1,ดื่มระหว่างเดินทาง/ขับรถ,3,3,3,3,3,3,3,3,3,3
ไม่ดื่มกาแฟในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0,0,0,ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม,5,5,4,3,3,4,4,4,4,4
ไม่ดื่มกาแฟ Ready to drink เลย,5,5,5,5,5,2,2,5,1,5,5,5,"ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มหลังมื้ออาหารที่เป็นอาหารทอด น้ำมันเยอะๆ",5,5,5,5,5,5,3,5,5,5
ไม่ดื่มกาแฟ Ready to drink เลย,4,4,4,2,4,4,3,4,5,3,5,5,ไม่ดื่มชาเขียวพร้อมดื่ม (Ready to drink) เลย,4,4,4,4,4,3,3,4,4,4
ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้,5,4,4,4,5,2,4,3,3,4,4,4,ไม่ดื่มชาในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0
ไม่ดื่มกาแฟ Ready to drink เลย,4,2,4,2,4,3,4,4,3,3,4,4,ไม่ดื่มชาในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0
ไม่ดื่มกาแฟ Ready to drink เลย,5,5,5,5,5,4,5,5,5,4,5,5,ไม่ดื่มชาในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0
ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้,5,4,3,1,4,5,3,5,5,4,5,4,"ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล",5,5,5,5,4,3,3,3,3,3
ไม่ดื่มกาแฟในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0,0,0,ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม,4,4,4,4,4,4,4,4,4,4
ดื่มระหว่างเดินทาง/ขับรถ,5,5,4,1,5,5,4,5,5,4,5,5,ไม่ดื่มชาในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0
ไม่ดื่มกาแฟในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0,0,0,ไม่ดื่มชาเขียวพร้อมดื่ม (Ready to drink) เลย,4,4,4,4,4,4,4,4,3,4
"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มให้ไม่ง่วงในวันที่ทำงานดึก, ดื่มระหว่างเดินทาง/ขับรถ",4,5,3,3,4,5,3,4,3,4,4,3,ไม่ดื่มชาในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0
ไม่ดื่มกาแฟ Ready to drink เลย,5,4,4,3,4,4,5,3,5,3,5,5,"ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล",5,4,1,2,3,5,3,4,5,4
ไม่ดื่มกาแฟ Ready to drink เลย,5,5,5,3,5,5,5,5,5,3,5,5,ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า,5,5,5,5,5,5,5,5,5,5
ไม่ดื่มกาแฟ Ready to drink เลย,3,3,3,3,3,3,3,3,3,3,3,3,ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม,4,4,5,5,4,3,3,5,4,4
ไม่ดื่มกาแฟ Ready to drink เลย,5,5,5,1,5,5,4,5,5,3,4,4,"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล, ดื่มระหว่างเดินทาง/ขับรถ, ดื่มให้ไม่ง่วงในวันที่ทำงานดึก",5,5,4,3,4,4,4,5,4,4
"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มระหว่างเดินทาง/ขับรถ",4,4,5,3,4,3,4,5,5,5,4,4,ไม่ดื่มชาในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0
ไม่ดื่มกาแฟในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0,0,0,ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม,5,5,5,3,3,3,3,5,5,5
ไม่ดื่มกาแฟในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0,0,0,"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า",5,4,3,3,3,1,3,5,1,3
ไม่ดื่มกาแฟ Ready to drink เลย,4,4,4,1,4,3,3,5,5,2,5,5,"ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล, ดื่มระหว่างเดินทาง/ขับรถ",4,4,5,5,4,4,4,5,4,4
ดื่มให้ตื่นตัวในตอนเช้า,5,4,5,1,5,4,4,5,4,4,5,4,"ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล",5,5,5,5,5,4,4,5,5,4
ไม่ดื่มกาแฟในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0,0,0,ไม่ดื่มชาเขียวพร้อมดื่ม (Ready to drink) เลย,3,2,4,4,3,3,2,4,4,4
ไม่ดื่มกาแฟ Ready to drink เลย,5,5,3,3,3,5,1,5,3,3,3,5,ไม่ดื่มชาเขียวพร้อมดื่ม (Ready to drink) เลย,3,3,5,5,3,3,3,3,3,3
ไม่ดื่มกาแฟ Ready to drink เลย,5,3,4,1,5,4,1,3,4,5,4,5,"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มก่อนออกกำลังกาย",5,5,4,4,5,3,3,3,5,5
ไม่ดื่มกาแฟ Ready to drink เลย,4,3,3,1,4,4,3,4,4,3,4,4,"ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล",5,4,3,3,3,2,2,4,4,3
ไม่ดื่มกาแฟ Ready to drink เลย,4,4,4,4,4,4,3,3,3,3,2,2,ไม่ดื่มชาเขียวพร้อมดื่ม (Ready to drink) เลย,4,4,4,3,4,4,4,3,2,2
"ดื่มให้ตื่นตัวในตอนเช้า, ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน, ดื่มระหว่างเดินทาง/ขับรถ, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, เล่นเกม, ดูบอล, ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้",5,5,5,1,5,1,1,5,5,5,1,1,"ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล, ดื่มระหว่างเดินทาง/ขับรถ",5,5,5,5,5,5,5,5,5,1
ไม่ดื่มกาแฟในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0,0,0,ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน,5,5,5,4,4,3,3,5,4,4
ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน,4,4,4,1,5,5,5,5,5,5,5,5,ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า,3,3,4,4,5,5,4,5,5,5
ดื่มให้ไม่ง่วงในวันที่ทำงานดึก,3,3,3,3,3,5,3,5,3,3,4,4,ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม,3,3,1,1,1,1,1,4,4,4
ไม่ดื่มกาแฟ Ready to drink เลย,5,4,5,1,5,4,4,5,5,3,4,4,"ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล",5,4,2,3,2,3,4,4,5,5
ไม่ดื่มกาแฟ Ready to drink เลย,5,5,5,2,3,4,4,3,2,2,2,2,"ดื่มระหว่างวันเหมือน/แทนน้ำเปล่า, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล",5,5,5,5,4,3,3,3,3,3
ดื่มทดแทนเมื่อหาร้านกาแฟสดไม่ได้,4,4,4,3,4,4,3,3,4,4,3,3,ไม่ดื่มชาในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0
ไม่ดื่มกาแฟในโอกาศใดเลย,0,0,0,0,0,0,0,0,0,0,0,0,"ดื่มระหว่างมื้ออาหาร แทนเครื่องดื่มอื่นๆ เช่น ชานม, ดื่มหลังออกกำลังกาย, ดื่มระหว่างทำงานอดิเรกต่างๆ เช่น ดูซีรีส์, ฟังเพลง, ดูบอล, ดื่มระหว่างเดินทาง/ขับรถ",4,4,3,3,4,4,3,4,4,4
ไม่ดื่มกาแฟ Ready to drink เลย,5,5,4,1,4,3,2,3,2,4,2,4,ดื่มให้ตื่นตัวระหว่างทำงานเวลากลางวัน,4,5,5,5,4,4,4,3,2,2
